"X","Y","DateTime"
"550.3","168.1","236408265340"
"560.1","166.6","236408273789"
"574.2","168.4","236408281945"
"576.6","171.1","236408290318"
"583.5","191.1","236408298691"
"582.7","206.1","236408306989"
"583.3","222.4","236408315365"
"592.5","222.4","236408323667"
"595.3","219.2","236408332038"
"598.0","207.8","236408340342"
"598.0","207.8","236408348670"
"602.2","229.6","236408357017"
"601.9","232.7","236408365331"
"604.9","233.5","236408373729"
"600.0","237.5","236408382022"
"598.7","234.4","236408390343"
"599.4","232.5","236408398626"
"603.1","231.4","236408406993"
"603.1","233.7","236408415327"
"604.5","237.1","236408423683"
"604.6","238.0","236408432104"
"603.8","232.7","236408440490"
"601.3","232.5","236408448719"
"602.8","228.8","236408457140"
"607.1","229.3","236408465357"
"609.0","231.7","236408473841"
"610.9","228.5","236408482083"
"610.4","238.2","236408490386"
"603.6","249.8","236408498827"
"593.0","285.1","236408507270"
"585.4","288.4","236408515573"
"576.9","295.4","236408523847"
"575.1","294.6","236408531984"
"578.4","292.2","236408540486"
"573.8","290.7","236408548729"
"578.7","285.1","236408557113"
"571.9","303.8","236408565335"
"579.8","295.9","236408573649"
"576.8","297.8","236408582047"
"573.3","296.9","236408590493"
"578.0","295.1","236408598715"
"576.3","302.3","236408607046"
"577.5","315.6","236408615440"
"566.9","299.7","236408623829"
"566.6","294.9","236408632005"
"547.3","300.5","236408640456"
"543.3","290.6","236408648833"
"528.1","292.2","236408657176"
"522.0","287.7","236408665337"
"522.3","285.9","236408673878"
"519.9","282.6","236408682113"
"512.6","287.1","236408698608"
"515.2","284.6","236408707015"
"526.8","279.6","236408723634"
"515.9","302.3","236408731933"
"515.9","302.4","236408740464"
"514.6","295.2","236408748757"
"518.8","293.7","236408757126"
"519.3","296.7","236408765341"
"524.6","304.4","236408773768"
"527.0","308.1","236408782288"
"519.3","303.3","236408790254"
"516.8","307.9","236408798827"
"512.0","310.9","236408807082"
"519.4","321.6","236408815359"
"528.1","318.2","236408823773"
"530.7","321.0","236408831995"
"530.7","321.0","236408840468"
"510.4","325.1","236408848691"
"511.0","330.1","236408856923"
"533.7","333.7","236408865489"
"503.1","330.3","236408882008"
"689.9","301.8","236408890477"
"927.5","271.6","236408898684"
"1046.9","247.3","236408907062"
"1110.2","231.3","236408915370"
"1130.0","226.3","236408923778"
"1129.6","228.2","236408932015"
"1128.7","234.3","236408940288"
"1136.1","229.9","236408948728"
"1130.6","224.7","236408957024"
"1136.4","233.0","236408965368"
"1131.0","233.3","236408973568"
"1128.9","231.3","236408982052"
"1125.5","223.2","236408990261"
"1119.2","216.4","236408998789"
"1118.1","215.0","236409007097"
"1126.7","228.4","236409015248"
"1124.5","222.0","236409023680"
"1129.4","215.4","236409032047"
