"X","Y","DateTime"
"583.7","681.6","236286806539"
"530.4","577.9","236286815132"
"511.2","573.9","236286823386"
"478.6","519.3","236286831757"
"479.2","518.6","236286840066"
"482.8","476.9","236286848227"
"482.8","476.9","236286856738"
"481.8","480.8","236286865032"
"477.1","463.8","236286873127"
"477.1","463.8","236286881512"
"484.2","459.0","236286890050"
"481.2","492.0","236286898245"
"491.5","488.2","236286906621"
"477.7","485.3","236286914881"
"477.3","481.6","236286923394"
"471.3","477.6","236286931533"
"482.9","478.3","236286939905"
"483.5","473.9","236286948439"
"483.5","473.9","236286956732"
"552.6","476.3","236286973332"
"648.5","461.6","236286981669"
"971.7","438.7","236286998019"
"1149.2","409.0","236287006439"
"1182.5","408.8","236287014665"
"1228.9","410.7","236287023272"
"1240.5","413.1","236287039805"
"1233.0","407.8","236287048027"
"1231.2","402.0","236287056553"
"1226.8","400.4","236287065034"
"1234.7","394.8","236287073192"
"1238.9","387.8","236287081555"
"1232.1","386.1","236287089879"
"1237.5","387.9","236287098252"
"1235.9","385.1","236287106567"
"1247.0","382.2","236287114990"
"1255.3","371.2","236287123416"
"1255.1","373.3","236287131746"
"1255.8","371.5","236287140066"
"1250.0","374.2","236287148109"
"1252.6","371.2","236287156505"
"1248.2","367.8","236287164863"
"1245.7","361.1","236287173185"
"1248.8","357.1","236287181426"
"1235.5","421.2","236287189900"
"1235.5","421.2","236287198356"
"1263.7","393.5","236287206675"
"1268.6","401.4","236287215049"
"1259.6","429.0","236287223303"
"1252.9","437.3","236287231771"
"1247.8","456.2","236287240004"
"1241.7","465.9","236287248429"
"1247.1","463.2","236287256403"
"1275.0","418.3","236287264846"
"1279.2","417.2","236287273183"
"1281.2","417.5","236287281478"
"1279.2","429.7","236287289866"
"1264.3","451.9","236287298159"
"1272.0","436.4","236287306442"
"1267.9","429.3","236287314814"
"1273.1","432.3","236287323166"
"1272.8","432.4","236287331443"
"1257.2","451.4","236287339831"
"1257.1","450.5","236287348125"
"1261.9","451.8","236287356519"
"1269.9","481.1","236287364838"
"1270.8","478.9","236287373194"
"1269.1","475.2","236287381442"
"1267.1","453.0","236287389766"
"1279.2","435.8","236287397987"
"1278.6","441.4","236287406573"
"1265.8","413.8","236287414762"
"1252.9","427.9","236287423115"
"1252.3","429.1","236287431458"
"1279.3","396.7","236287439768"
"1288.6","381.1","236287448139"
"1272.7","439.3","236287464965"
"1266.7","456.3","236287473302"
"1282.6","435.0","236287490032"
"1280.2","439.7","236287498286"
"1277.5","442.2","236287514780"
"1276.0","439.4","236287523097"
"1275.9","439.5","236287531459"
"1260.3","453.1","236287539806"
"1279.9","414.1","236287548173"
"1279.9","414.1","236287556551"
"1276.6","410.2","236287564842"
"1273.2","414.0","236287573370"
"1259.1","433.5","236287581580"
"1252.2","437.5","236287589751"
"1268.9","418.3","236287598147"
"1268.9","428.9","236287606477"
"1277.6","433.1","236287614887"
"1280.1","432.3","236287623189"
"1283.2","428.4","236287631407"
"1276.5","430.1","236287639818"
"1254.2","442.3","236287648115"
"1239.6","414.4","236287664793"
"1247.9","397.7","236287673149"
"1258.7","391.6","236287689923"
"1263.7","393.4","236287698249"
"1266.5","374.3","236287714622"
"1255.4","377.9","236287723252"
"1238.7","357.1","236287739883"
"1230.3","376.8","236287748141"
"1245.3","393.3","236287764874"
"1242.1","416.1","236287773009"
"1255.2","409.4","236287781438"
"1247.6","408.4","236287789842"
"1251.1","409.9","236287798094"
"1259.3","412.8","236287814765"
"1257.7","406.3","236287823213"
"1261.1","376.9","236287839843"
"1256.9","391.6","236287848137"
"1260.9","382.0","236287864775"
"1246.5","394.5","236287873299"
"1238.6","385.1","236287889840"
"1253.9","373.3","236287898206"
"1255.8","368.3","236287914812"
"1254.6","369.3","236287923168"
"1253.4","363.0","236287939864"
"1251.5","353.9","236287948162"
"1259.0","355.1","236287964811"
"1260.0","357.6","236287973079"
"1256.6","357.0","236287989730"
"1266.2","361.9","236287998226"
"1277.2","383.3","236288014945"
"1264.8","371.4","236288023057"
"1260.4","372.0","236288039599"
"1272.3","384.3","236288047967"
"1269.0","372.0","236288064638"
"1224.6","448.2","236288089598"
"1224.6","448.2","236288097996"
"1206.7","477.0","236288106260"
"1253.0","387.8","236288114598"
"1256.6","407.3","236288122888"
"1247.5","423.9","236288131441"
"1247.2","429.4","236288139715"
"1228.1","447.0","236288148203"
"1226.2","439.1","236288156458"
"1234.3","453.8","236288164713"
"1242.7","437.2","236288173036"
"1229.1","390.4","236288189755"
"1235.1","365.5","236288198165"
"1185.7","400.1","236288214702"
"880.8","563.0","236288223074"
"815.6","603.9","236288231346"
"646.9","667.0","236288239799"
"515.9","715.9","236288248124"
"429.8","753.3","236288256424"
"378.6","784.1","236288264652"
"364.4","790.3","236288272956"
"364.3","788.6","236288281486"
"372.9","791.0","236288289749"
"379.8","798.5","236288298157"
"390.3","805.3","236288306307"
"387.3","797.8","236288322872"
"382.5","794.4","236288331186"
"391.9","788.3","236288339779"
"392.9","795.4","236288348143"
"394.7","794.5","236288356580"
"393.9","799.4","236288364861"
"398.6","798.0","236288372868"
"399.9","802.0","236288381229"
"405.1","790.0","236288389540"
"413.9","817.7","236288398180"
"418.2","813.9","236288414812"
"413.8","810.2","236288423212"
"417.0","793.3","236288431374"
"426.3","838.3","236288439688"
"434.2","853.7","236288447943"
"439.0","861.6","236288456487"
"443.0","859.6","236288464790"
"441.7","858.9","236288473113"
"439.6","857.0","236288481445"
"434.2","860.7","236288489862"
"431.0","835.6","236288498122"
"431.0","835.6","236288506353"
"434.8","837.2","236288514646"
"439.7","859.3","236288523047"
"446.1","859.1","236288531315"
"443.8","856.0","236288539628"
"441.9","857.6","236288548005"
"441.7","855.0","236288556265"
"443.5","859.3","236288564673"
"442.9","857.4","236288573168"
"449.8","859.2","236288581242"
"454.8","856.0","236288589710"
"443.2","834.0","236288598034"
"443.2","834.0","236288606227"
"452.3","839.0","236288614736"
"451.0","842.8","236288623123"
"450.8","842.9","236288631614"
"441.5","855.3","236288639490"
"439.7","852.7","236288647953"
"450.9","849.2","236288656271"
"461.9","850.1","236288664817"
"486.0","840.5","236288673036"
"509.5","834.5","236288681135"
"505.9","824.7","236288689787"
"511.3","830.6","236288697976"
"509.9","827.8","236288706289"
"522.8","837.4","236288714624"
"522.2","840.0","236288723067"
"514.0","840.3","236288731415"
"517.7","829.2","236288739777"
"519.4","827.1","236288748139"
"519.4","827.1","236288756219"
"523.3","844.9","236288764543"
"505.1","826.0","236288773152"
"510.6","839.3","236288781371"
"513.3","836.0","236288789497"
"518.0","839.9","236288797827"
"523.7","840.2","236288806154"
"524.7","840.2","236288814582"
"524.9","840.2","236288822910"
"519.8","840.5","236288831359"
"524.9","829.3","236288839595"
"556.2","823.9","236288848057"
"633.4","819.2","236288856279"
